-1.000 ,29.734,61.723
-0.074 ,41.115,-112.476
-0.087 ,38.694,-118.708
-0.062 ,33.328,-115.843
-0.178 ,40.931,46.783
0.008 ,8.908,13.847
-0.072 ,13.07,14.512
-0.207 ,29.19,30.401
0.173 ,23.432,30.596
0.010 ,8.404,39.091
0.033 ,8.007,38.841
-0.429 ,7.616,38.6
-0.340 ,11.198,41.78
-0.363 ,37.682,45.394
-0.582 ,29.703,53.574
-0.059 ,33.982,43.244
-0.087 ,33.3,43.459
-0.640 ,32.783,43.579
-0.014 ,11.4,8.428
-0.307 ,35.54,91.925
-0.091 ,-6.134,35.192
-0.071 ,-7.989,32.211
-0.307 ,38.513,31.409
-0.324 ,38.655,31.16
-0.173 ,37.73,30.169
-0.377 ,45.02,59.606
-0.012 ,-8.986,28.781
0.043 ,38.011,-118.9887677
0.095 ,33.888,-112.28
0.156 ,-1.79,-51.386
0.400 ,-4.356,-49.499
0.015 ,31.233,120.178
0.073 ,23.238,32.798
0.100 ,22.277,31.582
0.223 ,9.522,37.214
-0.007 ,6.474,37.897
0.151 ,46.14,74.296
0.051 ,30.722,90.576
0.177 ,33.409,89.913
0.220 ,34.749,90.45
0.464 ,35.067,90.526
0.504 ,35.209,90.354
0.222 ,35.585,91.131
0.319 ,34.581,88.99
0.512 ,35.315,89.267
0.594 ,35.472,88.453
0.163 ,35.752,90.218
0.116 ,31.881,89.058
0.302 ,37.567,89.412
0.374 ,35.744,92.871
0.082 ,53.849,127.393
0.260 ,36.293,40.785
0.886 ,-2.383,36.006
0.166 ,-3.637,35.036
0.239 ,-4.117,34.258
0.052 ,41.881,57.469
0.161 ,1.665,34.017
0.231 ,1.483,32.752
0.002 ,41.029,20.716
0.025 ,40.055,-119.578
0.006 ,39.094,-120.048
0.015 ,44.46,-110.361
0.001 ,46.236,-93.656
-0.024 ,40.344,45.393
0.010 ,45.267,-82.187
0.012 ,53.398,-98.141
0.011 ,59.306,-109.292
-0.008 ,61.954,-114.212
0.016 ,66.096,-120.656
-0.015 ,36.931,100.195
0.022 ,31.531,117.589
0.031 ,29.503,30.702
0.041 ,28.742,26.975
-0.006 ,58.526,27.585
0.010 ,12.022,37.249
-0.011 ,7.596,38.737
0.014 ,7.463,38.444
-0.002 ,7.028,38.444
-0.061 ,5.782,37.528
-0.003 ,47.586,9.467
-0.001 ,46.947,17.958
0.033 ,32.812,35.6
0.022 ,31.434,35.494
0.008 ,35.345,136.124
0.015 ,37.48,140.108
0.009 ,3.506,36.112
0.004 ,-11.253,34.485
-0.006 ,50.33,92.661
-0.021 ,-38.805,175.882
-0.003 ,60.807,31.676
-0.050 ,54.008,108.873
0.029 ,-1.955,29.201
0.029 ,60.86,14.786
0.008 ,46.473,6.561
0.001 ,46.673,7.766
0.105 ,35.902,38.34
0.024 ,-5.973,29.657
0.043 ,-3.546,35.844
-0.002 ,38.736,42.975
0.020 ,38.093,30.867
0.015 ,37.695,31.636
0.018 ,1.681,31.066
0.004 ,-0.398,29.715
-0.005 ,-0.796,33.738
